sz000755	山西三维	　8.43	+0.77	+10.052%	8.43	0.00	7.66	7.70	8.43	7.69	216,606	17,756.86	收藏	股吧
sh600874	创业环保	　8.99	+0.82	+10.037%	8.99	0.00	8.17	8.99	8.99	8.99	59,349	5,335.45	收藏	股吧
sz000582	北部湾港	　19.75	+1.80	+10.028%	19.75	0.00	17.95	19.75	19.75	19.75	7,751	1,530.90	收藏	股吧
sz000935	四川双马	　16.46	+1.50	+10.027%	16.46	0.00	14.96	16.20	16.46	15.77	202,857	33,136.14	收藏	股吧
sh600678	四川金顶	　13.83	+1.26	+10.024%	13.83	0.00	12.57	12.59	13.83	12.55	517,520	69,412.70	收藏	股吧
sz300011	鼎汉技术	　21.85	+1.99	+10.020%	21.85	0.00	19.86	20.11	21.85	20.11	215,114	45,447.03	收藏	股吧
sz300153	科泰电源	　26.47	+2.41	+10.017%	26.47	0.00	24.06	24.44	26.47	24.10	199,975	51,550.46	收藏	股吧
sz300539	横河模具	　18.89	+1.72	+10.017%	18.89	0.00	17.17	18.89	18.89	18.89	47	8.88	收藏	股吧
sh600146	商赢环球	　29.55	+2.69	+10.015%	29.55	0.00	26.86	27.67	29.55	26.88	373,987	107,348.99	收藏	股吧
sz002122	天马股份	　7.58	+0.69	+10.015%	7.58	0.00	6.89	6.89	7.58	6.86	313,863	23,503.51	收藏	股吧
sz000524	岭南控股	　18.24	+1.66	+10.012%	18.24	0.00	16.58	16.48	18.24	16.46	265,623	46,862.94	收藏	股吧
sz002810	山东赫达	　37.03	+3.37	+10.012%	37.03	0.00	33.66	37.03	37.03	37.03	261	96.65	收藏	股吧
sz002807	江阴银行	　10.77	+0.98	+10.010%	10.77	0.00	9.79	10.77	10.77	10.77	7,053	759.60	收藏	股吧
sz000605	渤海股份	　27.92	+2.54	+10.008%	27.92	0.00	25.38	24.85	27.92	24.50	330,296	87,039.08	收藏	股吧
sz300537	广信材料	　28.36	+2.58	+10.008%	28.36	0.00	25.78	28.36	28.36	28.36	71	20.14	收藏	股吧
sh600758	红阳能源	　17.81	+1.62	+10.006%	17.81	0.00	16.19	16.25	17.81	16.19	255,009	44,399.56	收藏	股吧
sh603031	安德利	　64.10	+5.83	+10.005%	64.10	0.00	58.27	64.10	64.10	64.10	4,173	2,674.76	收藏	股吧
sz000925	众合科技	　21.66	+1.97	+10.005%	21.66	0.00	19.69	19.98	21.66	19.98	74,995	16,099.43	收藏	股吧
sh600749	西藏旅游	　23.87	+2.17	+10.000%	23.87	0.00	21.70	21.85	23.87	21.60	239,641	54,662.98	收藏	股吧
sh603986	兆易创新	　153.89	+13.99	+10.000%	153.89	0.00	139.90	153.89	153.89	153.89	1,812	2,788.36	收藏	股吧
sz002729	好利来	　99.00	+9.00	+10.000%	99.00	0.00	90.00	90.00	99.00	88.66	25,324	24,296.24	收藏	股吧
sz300540	深冷股份	　82.83	+7.53	+10.000%	82.83	0.00	75.30	82.83	82.83	82.83	3,465	2,870.42	收藏	股吧
sz300538	同益股份	　59.19	+5.38	+9.998%	59.19	0.00	53.81	59.19	59.19	59.19	308	182.31	收藏	股吧
sh603007	花王股份	　43.57	+3.96	+9.997%	43.57	0.00	39.61	43.57	43.57	43.57	1,618	704.86	收藏	股吧
sh600506	香梨股份	　29.61	+2.69	+9.993%	29.61	0.00	26.92	28.01	29.61	28.01	39,537	11,614.64	收藏	股吧
sz002587	奥拓电子	　14.53	+1.32	+9.992%	14.53	0.00	13.21	13.20	14.53	13.08	397,985	55,765.55	收藏	股吧
sh603090	宏盛股份	　23.78	+2.16	+9.991%	23.78	0.00	21.62	23.78	23.78	23.78	156	37.10	收藏	股吧
sh603658	安图生物	　37.21	+3.38	+9.991%	37.21	0.00	33.83	37.21	37.21	37.21	209	77.78	收藏	股吧
sz300543	朗科智能	　35.67	+3.24	+9.991%	35.67	0.00	32.43	35.67	35.67	35.67	10	3.57	收藏	股吧
sz000615	京汉股份	　9.91	+0.90	+9.989%	9.91	0.00	9.01	8.90	9.91	8.85	355,030	34,281.54	收藏	股吧
sh600126	杭钢股份	　8.59	+0.78	+9.987%	8.59	0.00	7.81	8.59	8.59	8.25	330,666	28,182.91	收藏	股吧
sz300306	远方光电	　25.22	+2.29	+9.987%	25.22	0.00	22.93	25.00	25.22	23.86	103,704	25,636.78	收藏	股吧
sh600640	号百控股	　21.93	+1.99	+9.980%	21.93	0.00	19.94	19.94	21.93	19.81	327,557	70,141.37	收藏	股吧
sh603843	正平股份	　10.60	+0.96	+9.959%	10.60	0.00	9.64	10.60	10.60	10.60	489	51.83	收藏	股吧
sh601002	晋亿实业	　9.50	+0.86	+9.954%	9.50	0.00	8.64	8.63	9.50	8.58	569,661	53,004.67	收藏	股吧
sz000413	东旭光电	　15.39	+1.12	+7.849%	15.39	15.40	14.27	14.68	15.70	14.53	4,997,163	763,721.47	收藏	股吧
